mode,voltage_v,power_w,current_a,shunt_uv,current_error_percent,voltage_error_percent,output_burden_w,power_error_percent,target_percent,within_allocation
precision,5.0,0.5,0.1,500.0,1.0953425590873236,0.19595312499999998,8.125000000000001e-05,1.3097238844441117,5,True
precision,5.0,1.0,0.2,1000.0,0.7089212795436618,0.19595312499999998,8.125000000000001e-05,0.9144044791361482,5,True
precision,5.0,5.0,1.0,5000.0,0.3997842559087324,0.19595312499999998,8.125000000000001e-05,0.5981489548897465,1,True
precision,5.0,45.0,9.0,45000.0,0.33108713954541474,0.19595312499999998,8.125000000000001e-05,0.5278699495016301,1,True
precision,9.0,0.5,0.05555555555555555,277.77777777777777,1.6848848290216305,0.1677517361111111,0.00019125000000000001,1.893777153723971,5,True
precision,9.0,1.0,0.1111111111111111,555.5555555555555,1.0036924145108153,0.1677517361111111,0.00019125000000000001,1.1922849445920185,5,True
precision,9.0,5.0,0.5555555555555556,2777.777777777778,0.45873848290216307,0.1677517361111111,0.00019125000000000001,0.6310911772864788,1,True
precision,9.0,81.0,9.0,45000.0,0.33090978289519524,0.1677517361111111,0.00019125000000000001,0.4994531331037014,1,True
precision,15.0,0.5,0.03333333333333333,166.66666666666666,2.521311938363838,0.15365104166666668,0.00043125,2.765219526110924,5,True
precision,15.0,1.0,0.06666666666666667,333.3333333333333,1.421905969181919,0.15365104166666668,0.00043125,1.6209330461934708,5,True
precision,15.0,5.0,0.3333333333333333,1666.6666666666665,0.5423811938363837,0.15365104166666668,0.00043125,0.7055038622595217,1,True
precision,15.0,135.0,9.0,45000.0,0.33064374791986606,0.15365104166666668,0.00043125,0.48512276242358293,1,True
precision,20.0,0.5,0.025,125.0,3.174438758553029,0.14836328125,0.0007000000000000001,3.4677194499002493,5,True
precision,20.0,1.0,0.05,250.0,1.7484693792765145,0.14836328125,0.0007000000000000001,1.969530601366141,5,True
precision,20.0,5.0,0.25,1250.0,0.6076938758553029,0.14836328125,0.0007000000000000001,0.7709795225388679,1,True
precision,20.0,180.0,9.0,45000.0,0.33042205210709175,0.14836328125,0.0007000000000000001,0.47966502421279006,1,True
precision,28.0,0.5,0.017857142857142856,89.28571428571429,4.1364387585530284,0.1438309151785714,0.0012599999999999998,4.538581605360091,5,True
precision,28.0,1.0,0.03571428571428571,178.57142857142858,2.2294693792765146,0.1438309151785714,0.0012599999999999998,2.502688187620038,5,True
precision,28.0,5.0,0.17857142857142858,892.8571428571429,0.7038938758553028,0.1438309151785714,0.0012599999999999998,0.8739734534280228,1,True
precision,28.0,252.0,9.0,45000.0,0.33006733880665284,0.1438309151785714,0.0012599999999999998,0.47487371201390466,1,True
trend,5.0,0.5,0.1,500.0,1.4953425590873235,0.19595312499999998,8.125000000000001e-05,1.7105076969441277,5,True
trend,5.0,1.0,0.2,1000.0,0.9089212795436619,0.19595312499999998,8.125000000000001e-05,1.1147963853861342,5,True
trend,5.0,5.0,1.0,5000.0,0.4397842559087323,0.19595312499999998,8.125000000000001e-05,0.6382273361397437,1,True
trend,5.0,45.0,9.0,45000.0,0.33553158398985916,0.19595312499999998,8.125000000000001e-05,0.5323231029738693,1,True
trend,9.0,0.5,0.05555555555555555,277.77777777777777,2.404884829021631,0.1677517361111111,0.00019125000000000001,2.614984966223973,5,True
trend,9.0,1.0,0.1111111111111111,555.5555555555555,1.3636924145108154,0.1677517361111111,0.00019125000000000001,1.5528888508420307,5,True
trend,9.0,5.0,0.5555555555555556,2777.777777777778,0.5307384829021631,0.1677517361111111,0.00019125000000000001,0.7032119585364857,1,True
trend,9.0,81.0,9.0,45000.0,0.3353542273396397,0.1677517361111111,0.00019125000000000001,0.5039050331808417,1,True
trend,15.0,0.5,0.03333333333333333,166.66666666666666,3.7213119383638382,0.15365104166666668,0.00043125,3.9670633386109158,5,True
trend,15.0,1.0,0.06666666666666667,333.3333333333333,2.021905969181919,0.15365104166666668,0.00043125,2.221854952443478,5,True
trend,15.0,5.0,0.3333333333333333,1666.6666666666665,0.6623811938363838,0.15365104166666668,0.00043125,0.825688243509532,1,True
trend,15.0,135.0,9.0,45000.0,0.33508819236431053,0.15365104166666668,0.00043125,0.4895740358032294,1,True
trend,20.0,0.5,0.025,125.0,4.774438758553029,0.14836328125,0.0007000000000000001,5.070093262400262,5,False
trend,20.0,1.0,0.05,250.0,2.5484693792765145,0.14836328125,0.0007000000000000001,2.7707175076161366,5,True
trend,20.0,5.0,0.25,1250.0,0.7676938758553029,0.14836328125,0.0007000000000000001,0.9312169037888625,1,True
